Latitude,Longitude,Elevation,Elevation_bestfit,Canopy,std,Easting,Northing,Brightness_Flag,Snow_Flag,ReferenceElevation,VerticalErrors,season,date,Elevation_Coregistered,differences,slope,aspect
43.20378,-116.697,NaN,1466.125,46.17834,3.402823e+38,524615.29975,4783490.00025,0,1,1486.65747070312,NaN,4,2018.90410958904,NaN,NaN,9.43075516971588,263.304720898056
43.20647,-116.6974,NaN,1434.723,48.5835,3.402823e+38,524585.39975,4783788.00025,0,1,1457.46899414062,NaN,4,2018.90410958904,NaN,NaN,16.9113724986722,299.636744559044
43.20737,-116.6975,NaN,1438.812,47.44385,3.402823e+38,524576.19975,4783888.00025,0,1,1465.75,NaN,4,2018.90410958904,NaN,NaN,13.8558454525779,292.978692465565
43.20827,-116.6976,1449.668,1450.877,45.97876,3.687252,524565.79975,4783988.00025,0,1,1479.84936523438,-30.1813652343751,4,2018.90410958904,1450.44450878906,-29.4048564453201,12.4688641733889,230.444434014291
43.20917,-116.6977,NaN,1475.977,45.58411,3.402823e+38,524555.39975,4784087.00025,0,1,1494.75952148438,NaN,4,2018.90410958904,NaN,NaN,11.5393603246282,247.543292841191
43.21006,-116.6978,NaN,1463.243,38.29456,3.402823e+38,524545.09975,4784186.00025,0,1,1474.98205566406,NaN,4,2018.90410958904,NaN,NaN,18.3661492752056,233.530496633029
43.21096,-116.698,1458.458,1456.161,44.75549,7.368341,524534.79975,4784286.00025,0,1,1472.84631347656,-14.3883134765624,4,2018.90410958904,1459.23450878906,-13.6118046874999,18.8198253702213,262.901626919918
43.21365,-116.6983,NaN,1499.329,43.80981,3.402823e+38,524504.89975,4784585.00025,0,1,1520.39270019531,NaN,4,2018.90410958904,NaN,NaN,15.4674699803166,271.407227751915
43.21455,-116.6984,NaN,1499.867,40.62048,3.402823e+38,524495.59975,4784686.00025,0,1,1518.85144042969,NaN,4,2018.90410958904,NaN,NaN,16.8253983497109,257.660331228655
43.21545,-116.6986,NaN,1505.074,33.84705,3.402823e+38,524485.19975,4784784.00025,0,1,1508.6064453125,NaN,4,2018.90410958904,NaN,NaN,7.25300630426828,215.978176169456
43.21635,-116.6987,NaN,1459.816,37.48987,3.402823e+38,524473.79975,4784884.00025,0,1,1486.22082519531,NaN,4,2018.90410958904,NaN,NaN,21.425366767282,176.826214964432
43.21725,-116.6988,NaN,1437.905,45.90503,3.402823e+38,524464.59975,4784984.00025,0,1,1454.41259765625,NaN,4,2018.90410958904,NaN,NaN,15.5489253638111,216.297514465295
43.21904,-116.699,NaN,1385.903,35.60254,3.402823e+38,524444.99975,4785183.00025,0,1,1409.00427246094,NaN,4,2018.90410958904,NaN,NaN,18.8945848681504,235.777302697714
43.21994,-116.6992,NaN,1389.983,49.66895,3.402823e+38,524433.59975,4785283.00025,0,1,1411.92626953125,NaN,4,2018.90410958904,NaN,NaN,18.8220060509032,299.896482873123
43.22084,-116.6993,NaN,1397.03,43.08655,3.402823e+38,524423.19975,4785382.00025,0,1,1416.22985839844,NaN,4,2018.90410958904,NaN,NaN,22.211912814482,266.159531799176
43.22174,-116.6994,NaN,1393.414,41.35364,3.402823e+38,524413.89975,4785482.00025,0,1,1410.00231933594,NaN,4,2018.90410958904,NaN,NaN,21.4463226602926,264.793576575976
43.22263,-116.6995,1374.459,1371.643,41.0332,7.639715,524403.59975,4785582.00025,0,1,1394.10424804688,-19.6452480468749,4,2018.90410958904,1375.23550878906,-18.8687392578199,13.76054695011,225.198425063722
43.22353,-116.6996,NaN,1359.157,39.82178,3.402823e+38,524393.19975,4785682.00025,0,1,1373.86145019531,NaN,4,2018.90410958904,NaN,NaN,16.0160871127824,201.384073862105
43.22443,-116.6998,NaN,1379.128,32.25891,3.402823e+38,524382.89975,4785782.00025,0,1,1385.07250976562,NaN,4,2018.90410958904,NaN,NaN,18.9720261321079,303.982867948014
43.22533,-116.6999,NaN,1394.405,38.44165,3.402823e+38,524373.69975,4785881.00025,0,1,1410.11938476562,NaN,4,2018.90410958904,NaN,NaN,20.3028123490858,301.844164645147
